Category,Consumers Count,Total Expenditures,Total Authorized Services,Per Capita Expenditures,Per Capita Authorized Services,Utilized,Regional Center,Sheet Name,Title,Age Category,Total Eligible Consumers,Consumers Receiving Purchased Services,Consumers with No Purchased Services,Percent With No Purchased Services
"American Indian or Alaska
Native",163.0,3361984.0,4489724.0,20625.6701226994,27544.3205521473,0.7488175315,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Asian,3369.0,35808544.0,55766125.0,10628.8348174532,16552.723268032,0.6421200092,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Black/African American,3678.0,67015072.0,94283572.0,18220.5198586188,25634.4676753671,0.7107820646,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Hispanic,5832.0,56732894.0,88281428.0,9727.86248285315,15137.4190997942,0.6426367942,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"Native Hawaiian or Other
Pacific Islander",151.0,1181869.0,1904961.0,7826.94900662251,12615.637615894,0.6204164423,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"Other Ethnicity or
Race/Multi-Cultural",5268.0,47704353.0,113899346.0,9055.49609719052,21620.9843849658,0.4188290383,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,All Ages,,,,
White,13663.0,329329640.0,492540224.0,24103.7575949649,36049.200313987,0.6686350151,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Totals Check,32124.0,541134356.0,851165380.0,100189.0899804025,155154.7529101874,4.4522368952,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Totals,32124.0,541134358.0,851165380.0,16845.1736250171,26496.2451796186,0.6357570105,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"American Indian or Alaska
Native",19.0,42014.0,100440.0,2211.25473684211,5286.31736842105,0.4182977643,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For birth to age 2 years, inclusive",,,,
Asian,467.0,1487617.0,3377429.0,3185.47537473234,7232.18224839401,0.4404583935,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For birth to age 2 years, inclusive",,,,
